case,dataset,fault,status,truth,stage,arm,answer,correct,rank_of_truth,reason_for_answer,reason_for_truth,role_of_truth,retention_kept,retention_missed,retention_score,prompt_tokens,eval_tokens,wall_s,gpu_free_before_MB,parse_error,model,thinking,num_ctx
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,python:strength+llm2:qwen2.5-coder:7b,ts-security-service,False,3,shape ts-security-service_latency-50 (15.83); shape ts-security-service_latency-90 (23.55),shape ts-order-service_latency-50 (51.03); shape ts-order-service_latency-90 (48),origin,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),,3/3,3933.0,531.0,21.63,13753.0,,qwen2.5-coder:7b,False,5632.0
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,ts-inside-payment-service,False,3,High latency and step changes in error rate suggest a potential performance bottleneck.,Step changes in error rate suggest a sudden increase in load or resource contention.,origin,,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),0/3,1462.0,299.0,8.02,13407.0,,qwen2.5-coder:7b,False,3072.0
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,python:strength+llm2:qwen2.5-coder:7b,recommendationservice,False,2,shape recommendationservice_latency-90 (1.55); shape recommendationservice_latency-50 (1.05),shape cartservice_latency-90 (30.31); shape cartservice_latency-50 (1.4),origin,cartservice metric shift (cartservice_latency-90),,1/1,1092.0,445.0,9.36,13697.0,,qwen2.5-coder:7b,False,2560.0
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,recommendationservice,False,2,High 90th percentile latency and workload drop suggest a potential performance issue.,Substantial latency increase and workload drop indicate a potential bottleneck.,origin,,cartservice metric shift (cartservice_latency-90),0/1,743.0,344.0,8.08,13740.0,,qwen2.5-coder:7b,False,2048.0
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,python:strength+llm2:qwen2.5-coder:7b,carts,True,1,"log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)","log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)",victim,carts log volume quiet (carts log volume); carts metric shift (carts_socket),,2/2,1275.0,363.0,8.5,13768.0,,qwen2.5-coder:7b,False,2560.0
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,orders,False,2,"High workload and error rate, likely causing cascading issues.","Socket error rate increased, indicating potential issues.",victim,,carts log volume quiet (carts log volume); carts metric shift (carts_socket),0/2,667.0,274.0,7.24,13740.0,,qwen2.5-coder:7b,False,2048.0
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step2,python:strength+llm2:gemma4:26b,carts,True,1,error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569),error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569),origin,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,,3/3,1581.0,466.0,56.0,18193.0,,gemma4:26b,False,3072.0
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,carts,True,1,High error rate and new method not supported warnings suggest service instability or misconfiguration.,High error rate and new method not supported warnings suggest service instability or misconfiguration.,victim,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,,3/3,853.0,224.0,20.89,325.0,,gemma4:26b,False,2048.0
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step2,python:strength+llm2:gemma4:26b,carts,True,1,error_rate carts_error (from ~0 errors 14%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->574),error_rate carts_error (from ~0 errors 14%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->574),victim,carts error-rate rise (carts_error); carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque); carts log volume quiet (carts log volume),,3/3,1488.0,307.0,22.19,351.0,,gemma4:26b,False,3072.0
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,carts-db,False,2,Socket drops and connection refused errors in carts suggest the database is the root cause.,Experiencing high error rates and connection failures to its backend.,victim,carts error-rate rise (carts_error); carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque),carts log volume quiet (carts log volume),2/3,669.0,135.0,19.2,255.0,,gemma4:26b,False,2048.0
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step2,python:strength+llm2:gemma4:26b,front-end,False,2,"log_new POST /orders status400 - ms - - (0->644); log_new Order response: {""cause"":{""cause"":{""cause"":null,""message"":""C (0->643)",log_new Caused by: java.lang.IllegalArgumentException: Conflicting s (0->644); log_new Caused by: com.fasterxml.jackson.databind.JsonMappingExcepti (0->643),origin,orders presence change (orders_diskio); orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),,3/3,1476.0,237.0,20.68,281.0,,gemma4:26b,False,3072.0
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,queue-master,False,2,Complete silence in logs and disappearance of critical DockerSpawner errors suggests a failure in the task orchestration layer.,Experiencing massive error rates and new JsonMappingException errors which are likely causing upstream failures.,origin,orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),orders presence change (orders_diskio),2/3,751.0,199.0,19.81,268.0,,gemma4:26b,False,2048.0
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step2,python:strength+llm2:gemma4:26b,front-end,False,2,"log_new Order response: {""statusCode"":status406,""body"":{""timestamp"": (0->642); log_rate POST /orders status406 - ms - - (77->642)","log_new INFO w.w.s.o.controllers.OrdersController: Received payment  (0->642); log_rare 104 log_rare lines [classes: java.io.IOException, javax.serv (104 patterns)",origin,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders; orders error-seconds rise,,3/3,1405.0,335.0,22.17,292.0,,gemma4:26b,False,3072.0
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,orders-db,False,3,Shows a clear step change in socket count and network-related logs,High error rate and receiving null payment responses,victim,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders; orders error-seconds rise,,3/3,788.0,218.0,20.71,258.0,,gemma4:26b,False,2048.0
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step2,python:strength+llm2:gemma4:26b,front-end,True,1,log_rate POST /cart status500 <n> ms - <n> (77->705); log_rate POST /cart status201 - ms - - (655->30),log_rate POST /cart status500 <n> ms - <n> (77->705); log_rate POST /cart status201 - ms - - (655->30),victim,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,1413.0,292.0,21.68,279.0,,gemma4:26b,False,3072.0
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,orders,False,2,The front-end is reporting InvalidOrderException specifically from the orders controller.,It is the primary entry point experiencing massive error rate increases and log pattern shifts.,victim,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,757.0,271.0,20.86,273.0,,gemma4:26b,False,2048.0
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,python:strength+llm2:gemma4:26b,user,True,1,presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),unknown,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,1747.0,326.0,21.78,305.0,,gemma4:26b,False,3072.0
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,user,True,1,High error rate and massive latency spikes suggest it is a primary failure point.,High error rate and massive latency spikes suggest it is a primary failure point.,victim,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,789.0,279.0,21.0,284.0,,gemma4:26b,False,2048.0
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,python:strength+llm2:gemma4:26b,adservice,True,1,shape adservice_mem (10.6); shape adservice_cpu (33.07),shape adservice_mem (10.6); shape adservice_cpu (33.07),origin,adservice metric shift (adservice_mem),,1/1,1209.0,305.0,21.47,304.0,,gemma4:26b,False,2560.0
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,adservice,True,1,"Shows massive simultaneous increases in CPU, memory, and latency.","Shows massive simultaneous increases in CPU, memory, and latency.",unknown,adservice metric shift (adservice_mem),,1/1,668.0,287.0,20.26,295.0,,gemma4:26b,False,2048.0
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,python:strength+llm2:gemma4:26b,checkoutservice,True,1,shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),origin,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,1108.0,187.0,20.8,305.0,,gemma4:26b,False,2560.0
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,checkoutservice,True,1,"Exhibits massive step changes in CPU, memory, disk, and sockets.","Exhibits massive step changes in CPU, memory, disk, and sockets.",origin,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,739.0,159.0,19.87,295.0,,gemma4:26b,False,2048.0
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,python:strength+llm2:gemma4:26b,ts-order-service,True,1,shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),victim,ts-order-service metric shift (ts-order-service_cpu),,1/1,2569.0,673.0,26.1,305.0,,gemma4:26b,False,4096.0
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,ts-order-service,True,1,Shows massive CPU increase and rising latency.,Shows massive CPU increase and rising latency.,origin,ts-order-service metric shift (ts-order-service_cpu),,1/1,645.0,207.0,20.0,263.0,,gemma4:26b,False,2048.0
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,python:strength+llm2:gemma4:26b,ts-security-service,False,3,shape ts-security-service_latency-50 (15.83); shape ts-security-service_latency-90 (23.55),shape ts-order-service_latency-50 (51.03); shape ts-order-service_latency-90 (48),origin,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),,3/3,4580.0,412.0,25.4,306.0,,gemma4:26b,False,6656.0
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,ts-order-service,True,1,Experiencing massive latency spikes and new log patterns.,Experiencing massive latency spikes and new log patterns.,origin,,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),0/3,1264.0,234.0,20.8,387.0,,gemma4:26b,False,2560.0
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,python:strength+llm2:gemma4:26b,recommendationservice,False,2,shape recommendationservice_latency-90 (1.55); shape recommendationservice_latency-50 (1.05),shape cartservice_latency-90 (30.31); shape cartservice_latency-50 (1.4),origin,cartservice metric shift (cartservice_latency-90),,1/1,1150.0,196.0,3.38,295.0,,gemma4:26b,False,2560.0
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,recommendationservice,False,2,"Shows a clear, significant step change in high-percentile latency.",Shows an extreme increase in 90th percentile latency.,origin,cartservice metric shift (cartservice_latency-90),,1/1,608.0,128.0,19.0,295.0,,gemma4:26b,False,2048.0
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,python:strength+llm2:gemma4:26b,carts,True,1,"log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)","log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)",victim,carts log volume quiet (carts log volume); carts metric shift (carts_socket),,2/2,1403.0,275.0,21.44,305.0,,gemma4:26b,False,3072.0
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,llm:gemma4:26b-nothink-shuffled+llm2:gemma4:26b,orders-db,False,3,Shows a clear step change down in socket metric.,Experiencing connection exceptions and log quiet periods.,victim,carts log volume quiet (carts log volume),carts metric shift (carts_socket),1/2,761.0,214.0,20.58,281.0,,gemma4:26b,False,2048.0
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step2,python:strength+py2:naive,carts,True,1,error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569),error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569),victim,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,,3/3,,,,,,,,
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step2,python:strength+py2:rule,carts,True,1,error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569),error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569),origin,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,,3/3,,,,,,,,
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,front-end,False,2,High error rates and significant log rate increases.,New error log and significant log rate increase.,victim,carts WARN 'POST not supported'; carts error-seconds rise,carts goes quiet (restart),2/3,,,,,,,,
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,front-end,False,2,High error rates and significant log rate increases.,New error log and significant log rate increase.,origin,carts WARN 'POST not supported'; carts error-seconds rise,carts goes quiet (restart),2/3,,,,,,,,
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,carts,True,1,High error rate and new method not supported warnings suggest service instability or misconfiguration.,High error rate and new method not supported warnings suggest service instability or misconfiguration.,victim,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,,3/3,,,,,,,,
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,carts,True,1,High error rate and new method not supported warnings suggest service instability or misconfiguration.,High error rate and new method not supported warnings suggest service instability or misconfiguration.,origin,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,,3/3,,,,,,,,
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step2,python:strength+py2:naive,carts,True,1,error_rate carts_error (from ~0 errors 14%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->574),error_rate carts_error (from ~0 errors 14%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->574),victim,carts error-rate rise (carts_error); carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque); carts log volume quiet (carts log volume),,3/3,,,,,,,,
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step2,python:strength+py2:rule,carts,True,1,error_rate carts_error (from ~0 errors 14%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->574),error_rate carts_error (from ~0 errors 14%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->574),victim,carts error-rate rise (carts_error); carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque); carts log volume quiet (carts log volume),,3/3,,,,,,,,
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,carts-db,False,2,Socket issues and error rate indicate a potential connectivity or database problem.,High error rate and socket issues suggest a functional issue affecting multiple services.,victim,carts error-rate rise (carts_error),carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque); carts log volume quiet (carts log volume),1/3,,,,,,,,
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,carts-db,False,2,Socket issues and error rate indicate a potential connectivity or database problem.,High error rate and socket issues suggest a functional issue affecting multiple services.,victim,carts error-rate rise (carts_error),carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque); carts log volume quiet (carts log volume),1/3,,,,,,,,
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,carts-db,False,2,Socket drops and connection refused errors in carts suggest the database is the root cause.,Experiencing high error rates and connection failures to its backend.,victim,carts error-rate rise (carts_error); carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque),carts log volume quiet (carts log volume),2/3,,,,,,,,
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,carts-db,False,2,Socket drops and connection refused errors in carts suggest the database is the root cause.,Experiencing high error rates and connection failures to its backend.,victim,carts error-rate rise (carts_error); carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque),carts log volume quiet (carts log volume),2/3,,,,,,,,
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step2,python:strength+py2:naive,front-end,False,2,"log_new POST /orders status400 - ms - - (0->644); log_new Order response: {""cause"":{""cause"":{""cause"":null,""message"":""C (0->643)",log_new Caused by: java.lang.IllegalArgumentException: Conflicting s (0->644); log_new Caused by: com.fasterxml.jackson.databind.JsonMappingExcepti (0->643),victim,orders presence change (orders_diskio); orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),,3/3,,,,,,,,
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step2,python:strength+py2:rule,front-end,False,2,"log_new POST /orders status400 - ms - - (0->644); log_new Order response: {""cause"":{""cause"":{""cause"":null,""message"":""C (0->643)",log_new Caused by: java.lang.IllegalArgumentException: Conflicting s (0->644); log_new Caused by: com.fasterxml.jackson.databind.JsonMappingExcepti (0->643),victim,orders presence change (orders_diskio); orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),,3/3,,,,,,,,
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,front-end,False,2,Multiple new error logs indicating issues with order processing.,Multiple new error and log entries indicating issues with order processing and payment handling.,victim,orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),orders presence change (orders_diskio),2/3,,,,,,,,
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,front-end,False,2,Multiple new error logs indicating issues with order processing.,Multiple new error and log entries indicating issues with order processing and payment handling.,victim,orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),orders presence change (orders_diskio),2/3,,,,,,,,
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,queue-master,False,2,Complete silence in logs and disappearance of critical DockerSpawner errors suggests a failure in the task orchestration layer.,Experiencing massive error rates and new JsonMappingException errors which are likely causing upstream failures.,victim,orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),orders presence change (orders_diskio),2/3,,,,,,,,
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,queue-master,False,2,Complete silence in logs and disappearance of critical DockerSpawner errors suggests a failure in the task orchestration layer.,Experiencing massive error rates and new JsonMappingException errors which are likely causing upstream failures.,victim,orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),orders presence change (orders_diskio),2/3,,,,,,,,
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step2,python:strength+py2:naive,front-end,False,2,"log_new Order response: {""statusCode"":status406,""body"":{""timestamp"": (0->642); log_rate POST /orders status406 - ms - - (77->642)","log_new INFO w.w.s.o.controllers.OrdersController: Received payment  (0->642); log_rare 104 log_rare lines [classes: java.io.IOException, javax.serv (104 patterns)",victim,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders; orders error-seconds rise,,3/3,,,,,,,,
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step2,python:strength+py2:rule,front-end,False,2,"log_new Order response: {""statusCode"":status406,""body"":{""timestamp"": (0->642); log_rate POST /orders status406 - ms - - (77->642)","log_new INFO w.w.s.o.controllers.OrdersController: Received payment  (0->642); log_rare 104 log_rare lines [classes: java.io.IOException, javax.serv (104 patterns)",victim,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders; orders error-seconds rise,,3/3,,,,,,,,
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,orders,True,1,High error rate and significant changes in latency indicate a critical issue,High error rate and significant changes in latency indicate a critical issue,victim,orders error-seconds rise,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders,1/3,,,,,,,,
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,orders,True,1,High error rate and significant changes in latency indicate a critical issue,High error rate and significant changes in latency indicate a critical issue,victim,orders error-seconds rise,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders,1/3,,,,,,,,
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,orders-db,False,3,Shows a clear step change in socket count and network-related logs,High error rate and receiving null payment responses,victim,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders; orders error-seconds rise,,3/3,,,,,,,,
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,orders-db,False,3,Shows a clear step change in socket count and network-related logs,High error rate and receiving null payment responses,victim,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders; orders error-seconds rise,,3/3,,,,,,,,
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step2,python:strength+py2:naive,front-end,True,1,log_rate POST /cart status500 <n> ms - <n> (77->705); log_rate POST /cart status201 - ms - - (655->30),log_rate POST /cart status500 <n> ms - <n> (77->705); log_rate POST /cart status201 - ms - - (655->30),victim,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,,,,,,,,
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step2,python:strength+py2:rule,front-end,True,1,log_rate POST /cart status500 <n> ms - <n> (77->705); log_rate POST /cart status201 - ms - - (655->30),log_rate POST /cart status500 <n> ms - <n> (77->705); log_rate POST /cart status201 - ms - - (655->30),victim,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,,,,,,,,
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,front-end,True,1,High error rate and significant changes in log patterns.,High error rate and significant changes in log patterns.,victim,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,,,,,,,,
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,front-end,True,1,High error rate and significant changes in log patterns.,High error rate and significant changes in log patterns.,victim,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,,,,,,,,
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,orders,False,2,The front-end is reporting InvalidOrderException specifically from the orders controller.,It is the primary entry point experiencing massive error rate increases and log pattern shifts.,victim,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,,,,,,,,
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,orders,False,2,The front-end is reporting InvalidOrderException specifically from the orders controller.,It is the primary entry point experiencing massive error rate increases and log pattern shifts.,victim,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,,,,,,,,
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,python:strength+py2:naive,user,True,1,presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),unknown,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,,,,,,,,
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,python:strength+py2:rule,user,True,1,presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),unknown,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,,,,,,,,
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:naive,front-end,False,3,High CPU usage and quiet log volume suggest a significant issue.,Error metric appeared and latency issues are critical.,unknown,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,,,,,,,,
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,llm:qwen2.5-coder:7b-nothink-shuffled+py2:rule,front-end,False,3,High CPU usage and quiet log volume suggest a significant issue.,Error metric appeared and latency issues are critical.,unknown,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,,,,,,,,
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,llm:gemma4:26b-nothink-shuffled+py2:naive,user,True,1,High error rate and massive latency spikes suggest it is a primary failure point.,High error rate and massive latency spikes suggest it is a primary failure point.,unknown,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,,,,,,,,
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,llm:gemma4:26b-nothink-shuffled+py2:rule,user,True,1,High error rate and massive latency spikes suggest it is a primary failure point.,High error rate and massive latency spikes suggest it is a primary failure point.,unknown,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,,,,,,,,
